unresolved_name,n_sources,tier,suggested_canonical,all_candidates,sources_referencing,synonyms_from_sources,grin_accession_id,action,notes
NOIR DE CRIMÉE FAUX,2,tier3,PASKAL NOIR FAUX,PASKAL NOIR FAUX | PINOT NOIR | GAMAY NOIR | MERLOT NOIR | GRAND NOIR | ROUMI NOIR | ARAMON NOIR | MANSENG NOIR | CAMARAOU NOIR | CARIGNAN NOIR,lacombe 2013; ssr lacombe,,,,
NOIR HÂTIF DE MARSEILLE,2,tier3,NOIR HATIF DE MARSEILLE,NOIR HATIF DE MARSEILLE | PINOT NOIR | GAMAY NOIR | MERLOT NOIR | GRAND NOIR | ROUMI NOIR | ARAMON NOIR | MANSENG NOIR | CAMARAOU NOIR | CARIGNAN NOIR,lacombe 2013; ssr lacombe,,,,
NÉGRET DE BANHARS,2,tier3,NEGRET DE BANHARS,NEGRET DE BANHARS,lacombe 2013; ssr lacombe,,,,
NÉGRET DU TARN,2,tier3,NEGRET DU TARN,NEGRET DU TARN,lacombe 2013; ssr lacombe,,,,
ODJOU BATAK,2,tier3,ODJU BATAK,ODJU BATAK,lacombe 2013; ssr lacombe,,,,
PADEIRO DE BASTO,2,tier3,PADEIRO,PADEIRO | BLANCO BASTO | PADEIRO DE ST. TIRSO,lacombe 2013; ssr lacombe,,,,
PALESTINA OBERLIN I,2,tier3,MADELEINE ANGEVINE OBERLIN,MADELEINE ANGEVINE OBERLIN | OBERLIN 477 | OBERLIN 604 | OBERLIN 605 | OBERLIN 782 | PALESTINA I | OBERLIN NOIR | PALESTINA II | PALESTINA III | MUSKAT OBERLIN,lacombe 2013; laucou 2018,,,,
PANSE PRÉCOCE,2,tier3,PANSE VALENCIANO,PANSE VALENCIANO,lacombe 2013; laucou 2018,,,,
PARDINA = JAEN BLANCO,2,tier3,VERDEJO BLANCO,VERDEJO BLANCO | PARDINA | JAEN TINTO | PALO BLANCO | CAINO BLANCO | ABOQUEL BLANCO | DE JOSE BLANCO | DIRECTO BLANCO | BASTARDO BLANCO | LOUREIRO BLANCO,vivc confirmed; lacombe 2013,,,,
PASIGA = CG 26‐858,2,tier3,PASIGA,PASIGA,lacombe 2013; ssr lacombe,,,,
PATAGONIA = EX 15,2,tier3,PATAGONIA,PATAGONIA,lacombe 2013; ssr lacombe,,,,
PAULSEN   764,2,tier3,PAULSEN 1447,PAULSEN 1447 | MOSCATO PAULSEN | PAULSEN 73 | PAULSEN 123 | PAULSEN 124 | PAULSEN 132 | PAULSEN 157 | PAULSEN 188 | PAULSEN 2 A | PAULSEN 205,vivc confirmed; node profile,,,,
PAULSEN   775,2,tier3,PAULSEN 1447,PAULSEN 1447 | MOSCATO PAULSEN | PAULSEN 73 | PAULSEN 123 | PAULSEN 124 | PAULSEN 132 | PAULSEN 157 | PAULSEN 188 | PAULSEN 2 A | PAULSEN 205,vivc confirmed; node profile,,,,
PAULSEN   779,2,tier3,PAULSEN 1447,PAULSEN 1447 | MOSCATO PAULSEN | PAULSEN 73 | PAULSEN 123 | PAULSEN 124 | PAULSEN 132 | PAULSEN 157 | PAULSEN 188 | PAULSEN 2 A | PAULSEN 205,vivc confirmed; node profile,,,,
PAULSEN   782,2,tier3,PAULSEN 1447,PAULSEN 1447 | MOSCATO PAULSEN | PAULSEN 73 | PAULSEN 123 | PAULSEN 124 | PAULSEN 132 | PAULSEN 157 | PAULSEN 188 | PAULSEN 2 A | PAULSEN 205,vivc confirmed; node profile,,,,
PAULSEN  1045,2,tier3,PAULSEN 1045,PAULSEN 1045 | PAULSEN 1447 | MOSCATO PAULSEN | PAULSEN 73 | PAULSEN 123 | PAULSEN 124 | PAULSEN 132 | PAULSEN 157 | PAULSEN 188 | PAULSEN 2 A,vivc confirmed; node profile,,,,
PAULSEN  1103,2,tier3,PAULSEN 1103,PAULSEN 1103 | PAULSEN 1103 (NON IDENTIFIED) | PAULSEN 1447 | MOSCATO PAULSEN | PAULSEN 73 | PAULSEN 123 | PAULSEN 124 | PAULSEN 132 | PAULSEN 157 | PAULSEN 188,vivc confirmed; node profile,,,,
PAULSEN  1331,2,tier3,PAULSEN 1331,PAULSEN 1331 | PAULSEN 1447 | MOSCATO PAULSEN | PAULSEN 73 | PAULSEN 123 | PAULSEN 124 | PAULSEN 132 | PAULSEN 157 | PAULSEN 188 | PAULSEN 2 A,vivc confirmed; node profile,,,,
PAULSEN  1447,2,tier3,PAULSEN 1447,PAULSEN 1447 | MOSCATO PAULSEN | PAULSEN 73 | PAULSEN 123 | PAULSEN 124 | PAULSEN 132 | PAULSEN 157 | PAULSEN 188 | PAULSEN 2 A | PAULSEN 205,vivc confirmed; node profile,,,,
PEDRO GIMENEZ FAUX,2,tier3,PEDRO GIMENEZ,PEDRO GIMENEZ | PEDRO GIMENEZ 1 | PEDRO GIMENEZ 2 | PEDRO XIMENEZ | CEAUS ROZ FAUX | DIAGALVES FAUX | KARASAKIS FAUX | KIZIL SAPAK FAUX | GORA CHIRINE FAUX | PETIT VERDOT FAUX,lacombe 2013; ssr lacombe,,,,
PEHLIVAN KARA = PAPIGI KARA,2,tier3,PEHLIVAN KARA,PEHLIVAN KARA | GUZAL KARA | KARA UZYUM NUKHURSKII | BOR KARA | ASYL KARA | ALACA KARA | BASAR KARA | CATAL KARA | ALLONE KARA | DIMRIT KARA,vivc confirmed; ssr lacombe,,,,
PERGRANDIS = PIROVANO 388,2,tier3,MARIA PIROVANO,MARIA PIROVANO | ANGELO PIROVANO | PIROVANO 5 | PIROVANO 190 | PERGRANDIS | PIROVANO 1 | PIROVANO 17 | PIROVANO 3 | PIROVANO 4 | PIROVANO 6,lacombe 2013; ssr lacombe,,,,
PERLE = SCHEU 3951,2,tier3,PERLE,PERLE | SCHEU 10514 | PERLE NOIRE | BELLE PERLE | GARGIULO 3951 | PERLE DE PEGOES | PERLE DE CADOULE | PERLE DE MOCAMEDES,lacombe 2013; ssr lacombe,,,,
PERLON = CG 89‐878,2,tier3,PERLON,PERLON | BIG PERLON,lacombe 2013; ssr lacombe,,,,
PERLONA = PIROVANO 54,2,tier3,MARIA PIROVANO,MARIA PIROVANO | ANGELO PIROVANO | PIROVANO 5 | PIROVANO 190 | PERLONA | PIROVANO 1 | PIROVANO 17 | PIROVANO 3 | PIROVANO 4 | PIROVANO 6,lacombe 2013; ssr lacombe,,,,
PINELLA BIANCA,2,tier3,BERMESTIA BIANCA,BERMESTIA BIANCA | MALVASIA BIANCA | BIANCA | MALVASIA BIANCA LUNGA | MARZEMINA BIANCA | VERNACCIA BIANCA | MENNA DI VACCA BIANCA | ALBANA BIANCA | BIONDA BIANCA | ALLIANA BIANCA,lacombe 2013; ssr lacombe,,,,
PINOT SALOMON DE SEMIS,2,tier3,PINOT SALOMON,PINOT SALOMON | PINOT NOIR | PINOT GRIS | PINOT BLANC | PINOT MEUNIER | GREC BLANC DE SEMIS | GROS COURBU DE SEMIS | ALICE SALOMON | CHASSELAS SALOMON | PINOT PRECOCE NOIR,lacombe 2013; ssr lacombe,,,,
PLANT DE BANDOL (TERRIN),2,tier3,PLANT DE BANDOL,PLANT DE BANDOL | PLANT DROIT | PLANT D'IMPERS | PLANT DE BRUNEL | PLANT DE DEKKER | PLANT DE CAUZETTE | PLANT DE DUBOSC 2 | PLANT DE FLASSANS | PLANT DE VINCELLES | PLANT TEINTURIER DU PLANTOU,lacombe 2013; ssr lacombe,,,,
PLANT DE PONTEILLA (JAUBERT),2,tier3,PLANT DE PONTEILLA,PLANT DE PONTEILLA | PLANT DROIT | PLANT D'IMPERS | PLANT DE BRUNEL | PLANT DE DEKKER | PLANT DE CAUZETTE | PLANT DE DUBOSC 2 | PLANT DE FLASSANS | PLANT DE VINCELLES | PLANT TEINTURIER DU PLANTOU,lac emanuelli 2020; laucou 2018,,,,
PLANT DE SÉCHEX,2,tier3,PLANT DROIT,PLANT DROIT | PLANT D'IMPERS | PLANT DE BRUNEL | PLANT DE DEKKER | PLANT DE CAUZETTE | PLANT DE DUBOSC 2 | PLANT DE FLASSANS | PLANT DE VINCELLES | PLANT TEINTURIER DU PLANTOU | PLANT DE BUFFARD,lacombe 2013; ssr lacombe,,,,
PLANT PANACHÉ D'ALZEY,2,tier3,PLANT DROIT,PLANT DROIT | PLANT D'IMPERS | PLANT DE BRUNEL | PLANT DE DEKKER | PLANT DE CAUZETTE | PLANT DE DUBOSC 2 | PLANT DE FLASSANS | PLANT DE VINCELLES | PLANT TEINTURIER DU PLANTOU | PLANT DE BUFFARD,lacombe 2013; ssr lacombe,,,,
PRETO MARTINHO DO DOURO,2,tier3,PRETO MARTINHO,PRETO MARTINHO | PRETO CARDANA | BOAL PRETO | CRATO PRETO | DOCAR PRETO | CAINHO PRETO | PERRUM PRETO | CACHUDO PRETO | CASTICO PRETO | FOZ DAO PRETO,lacombe 2013; ssr lacombe,,,,
PRIMIERA = PIROVANO 309,2,tier3,PRIMIERA,PRIMIERA | MARIA PIROVANO | ANGELO PIROVANO | PIROVANO 5 | PIROVANO 190 | PIROVANO 1 | PIROVANO 17 | PIROVANO 3 | PIROVANO 4 | PIROVANO 6,lacombe 2013; ssr lacombe,,,,
PRIMITIVO = ZINFANDEL,2,tier3,PRIMITIVO,PRIMITIVO | PRIMITIVO FAUX | PRIMITIVO DI TURI | PRIMITIVO SEEDLESS,lacombe 2013; ssr lacombe,,,,
PRINCEPS = PIROVANO 357,2,tier3,MARIA PIROVANO,MARIA PIROVANO | ANGELO PIROVANO | PIROVANO 5 | PIROVANO 190 | PRINCEPS | PIROVANO 1 | PIROVANO 17 | PIROVANO 3 | PIROVANO 4 | PIROVANO 6,lacombe 2013; ssr lacombe,,,,
PRODIGIOSA = PIROVANO 59,2,tier3,MARIA PIROVANO,MARIA PIROVANO | ANGELO PIROVANO | PIROVANO 5 | PIROVANO 190 | PIROVANO 1 | PRODIGIOSA | PIROVANO 17 | PIROVANO 3 | PIROVANO 4 | PIROVANO 6,lacombe 2013; ssr lacombe,,,,
PRÉCOCE DE MALINGRE,2,tier3,MALINGRE PRECOCE,MALINGRE PRECOCE | MALINGRE SEEMIK,lacombe 2013; ssr lacombe,,,,
PRÉSIDENT CARNOT,2,tier3,PRESIDENT CARNOT,PRESIDENT CARNOT | PINOT CARNOT,lacombe 2013; ssr lacombe,,,,
PÉCSI SZAGOS,2,tier3,SZAGOS BAJNAR,SZAGOS BAJNAR | PECSI SZAGOS,lacombe 2013; ssr lacombe,,,,
RAISIN DE GÊNES,2,tier3,RAISIN DE GENES,RAISIN DE GENES | RAISIN COURGE | RAISIN DE NOEL | RAISIN DU MIEL | RAISIN DE L'AURES | RAISIN BLANC KABYLE | RAISIN ROSE APYRENE | RAISIN DE SAINT PIERRE | CHASSELAS RAISIN DE PALESTIN | RAISIN ROUGE MUSQUE DE CORFOU,lacombe 2013; ssr lacombe,,,,
RAISIN DE KOSSUTH,2,tier3,KOSSUTH LAJOS,KOSSUTH LAJOS | RAISIN DE GENES | RAISIN COURGE | KOSSUTH FERENC | RAISIN DE NOEL | RAISIN DU MIEL | RAISIN DE L'AURES | RAISIN BLANC KABYLE | RAISIN ROSE APYRENE | RAISIN DE SAINT PIERRE,lacombe 2013; ssr lacombe,,,,
RAMI = VIDAL 119,2,tier3,VIDAL 19,VIDAL 19 | VIDAL 49 | VIDAL 98 T | VIDAL 99 T | RAMI | VIDAL 36 | VIDAL 117 | VIDAL 662 | VIDAL 678 | VIDAL BLANC,lacombe 2013; ssr lacombe,,,,
RED OHANES,2,tier3,OHANES,OHANES | OHANES RED,lac emanuelli 2020; laucou 2018,,,,
RICHTER  31,2,tier3,RICHTER 110,RICHTER 110 | RICHTER 44 | RICHTER 57 | RICHTER 99 | RICHTER 31 | RICHTER 6 | RICHTER 8 | RICHTER 60 | RICHTER 193 | RICHTER 205,vivc confirmed; node profile,,,,
RICHTER  44,2,tier3,RICHTER 110,RICHTER 110 | RICHTER 44 | RICHTER 57 | RICHTER 99 | RICHTER 31 | RICHTER 6 | RICHTER 8 | RICHTER 60 | RICHTER 193 | RICHTER 205,vivc confirmed; node profile,,,,
RICHTER  57,2,tier3,RICHTER 110,RICHTER 110 | RICHTER 44 | RICHTER 57 | RICHTER 99 | RICHTER 31 | RICHTER 6 | RICHTER 8 | RICHTER 60 | RICHTER 193 | RICHTER 205,vivc confirmed; node profile,,,,
RICHTER  99,2,tier3,RICHTER 110,RICHTER 110 | RICHTER 44 | RICHTER 57 | RICHTER 99 | RICHTER 31 | RICHTER 6 | RICHTER 8 | RICHTER 60 | RICHTER 193 | RICHTER 205,vivc confirmed; node profile,,,,
RIESLING BLEU (COLLECTION OBERLIN),2,tier3,SALICETTE (COLLECTION OBERLIN),SALICETTE (COLLECTION OBERLIN),lac emanuelli 2020; laucou 2018,,,,
RIVAIRENC = ASPIRAN,2,tier3,ASPIRAN BOUSCHET,ASPIRAN BOUSCHET | ASPIRAN NOIR | ASPIRAN GRIS | ASPIRAN BLANC | ASPIRAN ROUGE FONCE,lacombe 2013; ssr lacombe,,,,
ROBIN NOIR = SALAGNIN,2,tier3,ROBIN NOIR,ROBIN NOIR | PINOT NOIR | GAMAY NOIR | MERLOT NOIR | GRAND NOIR | ROUMI NOIR | ARAMON NOIR | MANSENG NOIR | CAMARAOU NOIR | CARIGNAN NOIR,lacombe 2013; ssr lacombe,,,,
RODI = PIROVANO 166,2,tier3,MARIA PIROVANO,MARIA PIROVANO | ANGELO PIROVANO | PIROVANO 5 | PIROVANO 190 | RODI | PIROVANO 1 | PIROVANO 17 | PIROVANO 3 | PIROVANO 4 | PIROVANO 6,lacombe 2013; ssr lacombe,,,,
ROTBERGER = GM 3‐37,2,tier3,ROTBERGER,ROTBERGER,lacombe 2013; ssr lacombe,,,,
RUGGERI   140,2,tier3,RUGGERI 140,RUGGERI 140 | RUGGERI 2 | RUGGERI 3 | RUGGERI 6 | RUGGERI 7 | RUGGERI 8 | RUGGERI 10 | RUGGERI 14 | RUGGERI 16 | RUGGERI 19,vivc confirmed; node profile,,,,
RUGGERI   205,2,tier3,RUGGERI 140,RUGGERI 140 | RUGGERI 2 | RUGGERI 3 | RUGGERI 6 | RUGGERI 7 | RUGGERI 8 | RUGGERI 10 | RUGGERI 14 | RUGGERI 16 | RUGGERI 19,vivc confirmed; node profile,,,,
RUGGERI   240,2,tier3,RUGGERI 140,RUGGERI 140 | RUGGERI 2 | RUGGERI 3 | RUGGERI 6 | RUGGERI 7 | RUGGERI 8 | RUGGERI 10 | RUGGERI 14 | RUGGERI 16 | RUGGERI 19,vivc confirmed; node profile,,,,
RUGGERI   300,2,tier3,RUGGERI 140,RUGGERI 140 | RUGGERI 2 | RUGGERI 3 | RUGGERI 6 | RUGGERI 7 | RUGGERI 8 | RUGGERI 10 | RUGGERI 14 | RUGGERI 16 | RUGGERI 19,vivc confirmed; node profile,,,,
SAINTON = VIDAL 9,2,tier3,VIDAL 19,VIDAL 19 | VIDAL 49 | VIDAL 98 T | VIDAL 99 T | SAINTON | VIDAL 36 | VIDAL 117 | VIDAL 662 | VIDAL 678 | VIDAL BLANC,lacombe 2013; ssr lacombe,,,,
SAINTONGE = VIDAL 31,2,tier3,VIDAL 19,VIDAL 19 | VIDAL 49 | VIDAL 98 T | VIDAL 99 T | VIDAL 36 | SAINTONGE | VIDAL 117 | VIDAL 662 | VIDAL 678 | VIDAL BLANC,lacombe 2013; ssr lacombe,,,,
SAINT‐LOUIS FAUX,2,tier3,CEAUS ROZ FAUX,CEAUS ROZ FAUX | DIAGALVES FAUX | KARASAKIS FAUX | KIZIL SAPAK FAUX | GORA CHIRINE FAUX | PETIT VERDOT FAUX | ZRINYI ILONA FAUX | ALICANTE BLANC FAUX | CATARRATTO BIANCO FAUX | SAUVIGNON PICCOLO FAUX,lacombe 2013; ssr lacombe,,,,
SCHEUREBE = ALZEY S 88,2,tier3,ALZEY 23384,ALZEY 23384 | SCHEUREBE | ALZEY 2765 | ALZEY 4400 | ALZEY 5079 | ALZEY 5845 | ALZEY 7672 | ALZEY 10506 | ALZEY 10514 | ALZEY 10859,lacombe 2013; ssr lacombe,,,,
SCHIRAS SÄMLING,2,tier3,SCHIRAS DR. HOUDBINE,SCHIRAS DR. HOUDBINE,lacombe 2013; ssr lacombe,,,,
SEIBEL 10096,2,tier3,SEIBEL 6468,SEIBEL 6468 | SEIBEL 2 | SEIBEL 880 | SEIBEL 5163 | SEIBEL 5437 | SEIBEL 110 | SEIBEL 446 | SEIBEL 874 | SEIBEL 1077 | SEIBEL 8616,vivc confirmed; ssr oliveira,,,,
SEIBEL 5455,2,tier3,SEIBEL 6468,SEIBEL 6468 | SEIBEL 2 | SEIBEL 880 | SEIBEL 5163 | SEIBEL 5437 | SEIBEL 110 | SEIBEL 446 | SEIBEL 874 | SEIBEL 1077 | SEIBEL 8616,vivc confirmed; ssr oliveira,,,,
SEIBEL 7053,2,tier3,SEIBEL 6468,SEIBEL 6468 | SEIBEL 2 | SEIBEL 880 | SEIBEL 5163 | SEIBEL 5437 | SEIBEL 110 | SEIBEL 446 | SEIBEL 874 | SEIBEL 1077 | SEIBEL 8616,vivc confirmed; ssr oliveira,,,,
SEIBEL 8745,2,tier3,SEIBEL 6468,SEIBEL 6468 | SEIBEL 2 | SEIBEL 880 | SEIBEL 5163 | SEIBEL 5437 | SEIBEL 110 | SEIBEL 446 | SEIBEL 874 | SEIBEL 1077 | SEIBEL 8616,vivc confirmed; ssr oliveira,,,,
SELECT = VIDAL 100 T,2,tier3,VIDAL 19,VIDAL 19 | VIDAL 49 | VIDAL 98 T | VIDAL 99 T | SELECT | VIDAL 36 | VIDAL 117 | VIDAL 662 | VIDAL 678 | VIDAL BLANC,lacombe 2013; ssr lacombe,,,,
SIRIA = CODEGA,2,tier3,CODEGA DO LARINHO,CODEGA DO LARINHO | SIRIA,lacombe 2013; ssr lacombe,,,,
SLANKAMENKA BLANC,2,tier3,CHARDONNAY BLANC,CHARDONNAY BLANC | CHENIN BLANC | SAUVIGNON BLANC | SAVAGNIN BLANC | CHAOUCH BLANC | PINOT BLANC | SEYVAL BLANC | TERRET BLANC | VILLARD BLANC | BALZAC BLANC,lacombe 2013; ssr lacombe,,,,
SOLFERINO = PIROVANO 316,2,tier3,MARIA PIROVANO,MARIA PIROVANO | ANGELO PIROVANO | PIROVANO 5 | PIROVANO 190 | SOLFERINO | PIROVANO 1 | PIROVANO 17 | PIROVANO 3 | PIROVANO 4 | PIROVANO 6,lacombe 2013; ssr lacombe,,,,
SOUKHOLIMANSKY BELY,2,tier3,POJONI BELY,POJONI BELY | KAIRAKI BELY | ZELENIAN BELY | KROKONATE BELY | LAZAREVSKY BELY | CROUSHEVSKI BELY,lacombe 2013; ssr lacombe,,,,
SOUVENIR DU CONGRÈS,2,tier3,SOUVENIR DU CONGRES,SOUVENIR DU CONGRES | SOUVENIR DE PUILLAT,lacombe 2013; ssr lacombe,,,,
SOVRANA = PIROVANO 244,2,tier3,SOVRANA,SOVRANA | MARIA PIROVANO | ANGELO PIROVANO | PIROVANO 5 | PIROVANO 190 | PIROVANO 1 | PIROVANO 17 | PIROVANO 3 | PIROVANO 4 | PIROVANO 6,lacombe 2013; ssr lacombe,,,,
SULTANA MOSCATA = PIROVANO 75,2,tier3,SULTANA MOSCATA,SULTANA MOSCATA | MARIA PIROVANO | ANGELO PIROVANO | PIROVANO 5 | PIROVANO 190 | SULTANA CHRIMSON | PIROVANO 1 | PIROVANO 17 | MALVASIA MOSCATA | PIROVANO 3,lacombe 2013; oliveira 2020,,,,
SZEGENY EMBER SZÖLÖJE,2,tier3,SZEGENY EMBER SZOELOEJE,SZEGENY EMBER SZOELOEJE,lacombe 2013; ssr lacombe,,,,
SZENT LASZLÖ,2,tier3,SZENT ANTAL,SZENT ANTAL | SZENT ISTVAN | SZENT LASZLO | SZENT ISTVAN KIRALY,lacombe 2013; ssr lacombe,,,,
TAMAREZ MOSCATEL 31‐3‐3,2,tier3,TAMAREZ MOSCATEL,TAMAREZ MOSCATEL | TAMAREZ | MOSCATEL ROSADO | MOSCATEL NAZARENO | MOSCATEL NATIVIDADE | MOSCATEL DE ANGUES | MOSCATEL DE CAMARATE | MOSCATEL AZUL | MOSCATEL ROSA | MOSCATEL NUNES,lacombe 2013; ssr lacombe,,,,
TINOS NOIR,2,tier3,PINOT NOIR,PINOT NOIR | GAMAY NOIR | MERLOT NOIR | GRAND NOIR | ROUMI NOIR | ARAMON NOIR | MANSENG NOIR | CAMARAOU NOIR | CARIGNAN NOIR | JURANCON NOIR,lacombe 2013; ssr lacombe,,,,
TINTA DA BARCA,2,tier3,TINTA BARROCA,TINTA BARROCA | GARNACHA TINTA | FORCALLAT TINTA | TINTA FRANCISCA | BARCA | ROJAL TINTA | TINTA POMAR | TINTA TINTO | ANADIA TINTA | TINTA AGUIAR,lacombe 2013; ssr lacombe,,,,
TORRONTÈS MENDOCINO,2,tier3,TORRONTES MENDOCINO,TORRONTES MENDOCINO,lacombe 2013; ssr lacombe,,,,
TORRONTÈS RIOJANO,2,tier3,TORRONTES RIOJANO,TORRONTES RIOJANO,lacombe 2013; ssr lacombe,,,,
TORRONTÈS SANJUANINO,2,tier3,TORRONTES SANJUANINO,TORRONTES SANJUANINO | TORRONTES SANJUANINO GLABRO,lacombe 2013; ssr lacombe,,,,
TOURIGA FÊMEA,2,tier3,TOURIGA NACIONAL,TOURIGA NACIONAL | TOURIGA FRANCA | TOURIGA FEMEA,lacombe 2013; ssr lacombe,,,,
TRAKYA ILKEREM,2,tier3,TRAKYA ILKEREN,TRAKYA ILKEREN,lacombe 2013; ssr lacombe,,,,
TRICANA = H 6‐52‐226,2,tier3,TRICANA,TRICANA,lacombe 2013; ssr lacombe,,,,
TRIPOLI = PIROVANO 352,2,tier3,MARIA PIROVANO,MARIA PIROVANO | ANGELO PIROVANO | PIROVANO 5 | PIROVANO 190 | TRIPOLI | PIROVANO 1 | PIROVANO 17 | PIROVANO 3 | PIROVANO 4 | PIROVANO 6,lacombe 2013; ssr lacombe,,,,
TRIUMPH TRAUBE,2,tier3,TRIUMPH,TRIUMPH | MARKEN TRAUBE | CORNICHON TRAUBE | NIKITANER TRAUBE,vivc confirmed; lacombe 2013,,,,
TROUSSEAU = BASTARDO,2,tier3,BASTARDO ESPANHOL,BASTARDO ESPANHOL | TROUSSEAU NOIR | TROUSSEAU GRIS | BASTARDO BLANCO | BASTARDO BRANCO | BASTARDO MAGARACHSKII | BASTARDO DOS FRADES DE BOLONIO | BASTARDO ROXO | TINTO BASTARDO | BASTARDO DE MUNEDO,vivc confirmed; lacombe 2013,,,,
TXAKOLI = HONDARRABI BELTZA,2,tier3,ONDARRABI BELTZA,ONDARRABI BELTZA,lac emanuelli 2020; laucou 2018,,,,
TZIMLANSKY CHERNYI,2,tier3,ODESSKII CHERNYI,ODESSKII CHERNYI | KISHMISH CHERNYI | LKENY CHERNYI | OSENNII CHERNYI | ARAKSENI CHERNYI | CHILYAKI CHERNYI | KUTLAKSKII CHERNYI | KUMSHATSKII CHERNYI | ANDIZHANSKII CHERNYI | TSIMLYANSKII CHERNYI,lacombe 2013; ssr lacombe,,,,
TÉOULIER BLANC FEMELLE,2,tier3,ASSARIO BLANC FEMELLE,ASSARIO BLANC FEMELLE | TEOULIER BLANC FEMELLE | CHARDONNAY BLANC | CHENIN BLANC | SAUVIGNON BLANC | SAVAGNIN BLANC | CHAOUCH BLANC | PINOT BLANC | SEYVAL BLANC | TERRET BLANC,lacombe 2013; ssr lacombe,,,,
TÖKÖS PIROS,2,tier3,TOEKOES PIROS,TOEKOES PIROS | OEROEKKE PIROS | SEIP PIROS | SZEP PIROS | BOROS PIROS | CSABA PIROS | GOHER PIROS | KORAI PIROS | LUBIK PIROS | GENUAI PIROS,lacombe 2013; ssr lacombe,,,,
UGNI BLANC = TREBBIANO TOSCANO,2,tier3,TREBBIANO TOSCANO,TREBBIANO TOSCANO | MAINGONNAT BELDI X UGNI BLANC | UGNI BLANC FLESHLESS BERRY | UGNI BLANC A FEUILLE DECOUPEE,vivc confirmed; lacombe 2013,,,,
VARIÉTÉ D'OASIS TOZEUR 7,2,tier3,VARIETE D'OASIS TOZEUR 1,VARIETE D'OASIS TOZEUR 1 | VARIETE D'OASIS TOZEUR 7 | VARIETE D'OASIS TOZEUR 9 | VARIETE D'OASIS TOZEUR 17 | VARIETE D'OASIS TOZEUR 22 | VARIETE D'OASIS TOZEUR 25 | VARIETE D'OASIS TOZEUR 26 | VARIETE D'OASIS DEGACHE 28 | VARIETE D'OASIS X | VARIETE D'OASIS NEFTA 38,lacombe 2013; ssr lacombe,,,,
VARIÉTÉ D'OASIS TOZEUR 9,2,tier3,VARIETE D'OASIS TOZEUR 1,VARIETE D'OASIS TOZEUR 1 | VARIETE D'OASIS TOZEUR 7 | VARIETE D'OASIS TOZEUR 9 | VARIETE D'OASIS TOZEUR 17 | VARIETE D'OASIS TOZEUR 22 | VARIETE D'OASIS TOZEUR 25 | VARIETE D'OASIS TOZEUR 26 | VARIETE D'OASIS DEGACHE 28 | VARIETE D'OASIS X | VARIETE D'OASIS NEFTA 38,lacombe 2013; ssr lacombe,,,,
VELTELINER ROUGE PRÉCOCE,2,tier3,GREC ROUGE,GREC ROUGE | CHASSELAS ROUGE | PETIT ROUGE | ROUGE DU PAYS | ALIGOTE ROUGE | CANDOLLE ROUGE | MUSCAT ROUGE DE MADERE | ROUGE | CEP ROUGE | FAY ROUGE,lacombe 2013; ssr lacombe,,,,
VERONA = PIROVANO 52,2,tier3,MARIA PIROVANO,MARIA PIROVANO | ANGELO PIROVANO | PIROVANO 5 | PIROVANO 190 | VERONA | PIROVANO 1 | PIROVANO 17 | PIROVANO 3 | PIROVANO 4 | PIROVANO 6,lacombe 2013; ssr lacombe,,,,
WEST FREISIA,2,tier3,FAR WEST,FAR WEST,lacombe 2013; ssr lacombe,,,,
WILDBACHER DE HONGRIE (COLLECTION RAVAZ),2,tier3,WILDBACHER DE HONGRIE,WILDBACHER DE HONGRIE | EARLY DAWN FAUX (COLLECTION RAVAZ),lac emanuelli 2020; laucou 2018,,,,
ZEMOASA = TIMPURIE,2,tier3,TAMIIOASA TIMPURIE,TAMIIOASA TIMPURIE,vivc confirmed; ssr lacombe,,,,
ZWEIGELT BLAU,2,tier3,GAENSFUESSER BLAU,GAENSFUESSER BLAU | AUGSTER BLAU | ZWEIGELTREBE BLAU | ELBLING BLAU | WILDBACHER BLAU | PORTUGIESER BLAU | ZIMMETTRAUBE BLAU | KOELNER BLAU | HEUNISCH BLAU | RIESLING BLAU,lacombe 2013; ssr lacombe,,,,
ÖREG KADARKA,2,tier3,KADARKA KEK,KADARKA KEK | OLASZ KADARKA | KADARKA OREG | KADARKA SRB | KADARKA FEHER | KADARKA PIROS | MESZI KADARKA | KADARKA SZUERKE | KADARKA TOEROEK,laucou 2018; ssr lacombe,,,,
ÖRÖKKÉ PIROS,2,tier3,TOEKOES PIROS,TOEKOES PIROS | OEROEKKE PIROS | SEIP PIROS | SZEP PIROS | BOROS PIROS | CSABA PIROS | GOHER PIROS | KORAI PIROS | LUBIK PIROS | GENUAI PIROS,lacombe 2013; ssr lacombe,,,,
101.14 MILLARDET ET DE GRASSET,1,tier3,MILLARDET ET GRASSET 106- 8,MILLARDET ET GRASSET 106- 8 | MILLARDET ET GRASSET 101- 14 | MILLARDET ET GRASSET 1 | MILLARDET ET GRASSET 2 | MILLARDET ET GRASSET 8 | MILLARDET ET GRASSET 9 | MILLARDET ET GRASSET 11 | MILLARDET ET GRASSET 12 | MILLARDET ET GRASSET 13 | MILLARDET ET GRASSET 14,ssr migliaro,,,,
